Date,Open,High,Low,Close
04/08/2022,"4,494.75","4,519.75","4,468.75","4,483.50"
04/07/2022,"4,471.25","4,517.25","4,444.50","4,496.25"
04/06/2022,"4,526.25","4,528.75","4,444.50","4,475.75"
04/05/2022,"4,576.25","4,588.75","4,507.75","4,520.25"
04/04/2022,"4,538.25","4,580.00","4,527.75","4,577.75"
04/01/2022,"4,541.00","4,555.50","4,501.25","4,539.25"
03/31/2022,"4,599.00","4,614.25","4,526.25","4,530.75"
03/30/2022,"4,621.25","4,627.50","4,574.75","4,596.00"
03/29/2022,"4,570.25","4,631.00","4,565.25","4,625.50"
03/28/2022,"4,535.25","4,572.25","4,509.75","4,568.00"
03/25/2022,"4,516.25","4,539.00","4,493.25","4,536.50"
03/24/2022,"4,449.25","4,517.50","4,445.75","4,512.50"
03/23/2022,"4,504.00","4,514.00","4,444.75","4,447.50"
03/22/2022,"4,456.75","4,514.75","4,433.00","4,505.00"
03/21/2022,"4,460.00","4,473.00","4,415.00","4,452.25"
03/18/2022,"4,384.25","4,465.75","4,364.50","4,453.50"
03/17/2022,"4,361.00","4,406.75","4,320.25","4,402.00"
03/16/2022,"4,249.75","4,367.50","4,239.00","4,349.50"
03/15/2022,"4,171.25","4,263.25","4,129.50","4,253.75"
03/14/2022,"4,206.75","4,244.75","4,152.25","4,163.50"
03/11/2022,"4,248.75","4,326.75","4,189.00","4,192.50"
03/10/2022,"4,270.50","4,273.25","4,198.00","4,248.00"
03/09/2022,"4,153.00","4,298.25","4,152.00","4,275.25"
03/08/2022,"4,186.50","4,275.00","4,138.75","4,168.75"
03/07/2022,"4,308.75","4,325.25","4,185.25","4,198.50"
03/04/2022,"4,366.50","4,374.50","4,281.25","4,327.25"
03/03/2022,"4,373.75","4,418.75","4,341.00","4,359.25"
03/02/2022,"4,308.75","4,399.25","4,278.25","4,381.75"
03/01/2022,"4,367.50","4,399.00","4,275.00","4,303.75"
02/28/2022,"4,299.50","4,385.50","4,251.50","4,368.00"
02/25/2022,"4,266.75","4,384.25","4,227.50","4,380.00"
02/24/2022,"4,215.50","4,290.00","4,101.75","4,284.00"
02/23/2022,"4,310.75","4,345.50","4,212.50","4,222.00"
02/22/2022,"4,266.25","4,358.75","4,250.00","4,300.00"
02/18/2022,"4,374.75","4,411.50","4,321.00","4,343.50"
02/17/2022,"4,464.25","4,474.75","4,367.25","4,374.50"
